year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,1,66.1,36.4,2.5,0,0,0,0,0,0,0,0
2010,1,1,57.1,48.9,2.2,0,0,0,0,0,0,0,0
2010,1,1,77.7,54.9,2.5,3.9,0,0,0,0,0,0,0
2010,1,1,53.2,49.7,0.4,1.7,0,1,0,0,0,0,0
2010,1,1,69.6,43.6,2.5,2,0,0,0,0,0,0,0
2010,1,1,57.3,47.4,1.1,0.5,0,1,0,0,0,0,0
2010,1,1,56.8,50.6,0.4,2.1,0,1,0,0,0,0,0
2010,1,1,56.3,42.9,2.5,1.1,0,0,0,0,0,0,0
2010,1,1,63.3,46.2,2.5,1,0,0,0,0,0,0,0
2010,1,1,68.1,51.9,2.3,1.6,0,0,0,0,0,0,0
2010,1,1,68.9,55.8,0.7,4.8,0,0,0,0,0,0,0
2010,1,1,83,75.6,4.3,0.8,0,0,0,0,0,0,0
2010,1,1,71.7,61.5,3.4,1.6,0.01,0,0,0,0,0,0
2010,1,1,62.3,42.2,2.3,5.1,0,0,0,0,0,0,0
2010,1,1,81.6,72.8,3.9,1.3,0,0,0,0,0,0,0
2010,1,1,81.2,72.6,2.5,2.3,0,0,0,0,0,0,0
2010,1,1,77.8,64,1.9,5.1,0,0,0,0,0,0,0
2010,1,1,65.8,50.1,2.2,0.7,0,0,0,0,0,0,0
2010,1,1,77.7,70.8,4.3,0.9,0,0,0,0,0,0,0
2010,1,1,61.1,54.3,1.5,1.3,0.04,0,0,0,0,0,0
2010,1,1,53.3,50.6,0.3,1.3,0,1,0,0,0,0,0
2010,1,1,63.3,45.8,2.6,3.2,0,0,0,0,0,0,0
2010,1,1,55.7,47.8,0.8,3.9,0,1,0,0,0,0,0
2010,1,1,77.4,69.5,3.4,1,0,0,0,0,0,0,0
2010,1,1,76.1,68,2.5,1.3,0,0,0,0,0,0,0
2010,1,1,59,52.7,1.1,0.5,0,0,0,0,0,0,0
2010,1,1,61.1,38,2.5,1,0,0,0,0,0,0,0
2010,1,1,61.1,56.3,1.8,0,0,1,0,0,0,0,0
2010,1,1,53.6,51.9,0.3,0.6,0,1,0,0,0,0,0
2010,1,1,50.4,49.8,0.2,0.1,0,1,0,0,0,0,0
2010,1,1,64.2,35.4,1.6,1.2,0,0,0,0,0,0,0
2010,1,1,59.5,48.6,1.1,0.9,0,0,0,0,0,0,0
2010,1,1,64.9,39.7,2.5,1.9,0,0,0,0,0,0,0
2010,1,1,83.7,77.6,4.3,0.7,0,0,0,0,0,0,0
2010,1,1,61.4,56.1,0.8,0.6,0,0,0,0,0,0,0
2010,1,1,77.6,72,3.7,1.1,0,0,0,0,0,0,0
2010,1,1,76.9,66,2.2,4.9,0,0,0,0,0,0,0
2010,1,1,74.9,62.8,3.9,2.2,0,0,0,0,0,0,0
2010,1,1,55.4,46.2,0.9,0,0,1,0,0,0,0,0
2010,1,1,67.5,54.4,2.3,1,0,0,0,0,0,0,0
2010,1,1,71.5,59.1,3.9,0.7,0,0,0,0,0,0,0
2010,1,1,51.1,49.8,0.2,1.2,0,1,0,0,0,0,0
